# WavelengthLower, WavelengthUpper, Wavelength, TransitDepth, TransitError
1.848888610299568303e+00 1.868445580604368939e+00 1.858667095451968621e+00 1.418966967227035093e+04 9.346753412481480439e+01
1.868853017485719192e+00 1.889224861553220336e+00 1.879038939519469764e+00 1.436574299042342500e+04 9.297180607468222036e+01
1.889224861553220336e+00 1.909596705620721480e+00 1.899410783586970908e+00 1.428114152408630071e+04 9.474564637129689970e+01
1.909596705620721258e+00 1.929968549688221957e+00 1.919782627654471607e+00 1.429558357116314983e+04 9.636116012216143645e+01
1.930375986569572211e+00 1.951562704399773418e+00 1.940969345484672814e+00 1.447084731677688796e+04 9.613050847510179153e+01
1.951155267518423386e+00 1.971527111585924530e+00 1.961341189552173958e+00 1.425270532921268386e+04 9.951928801546964110e+01
1.971934548467274340e+00 1.993121266297475103e+00 1.982527907382374721e+00 1.448933549553870944e+04 9.944067931920044145e+01
1.993121266297475325e+00 2.014307984127676754e+00 2.003714625212575928e+00 1.416368978301388051e+04 1.011526223637556257e+02
2.014307984127676310e+00 2.035494701957877073e+00 2.024901343042776691e+00 1.412766223628403168e+04 1.028807913134413354e+02
2.035902138839227327e+00 2.057903730432128597e+00 2.046902934635677962e+00 1.395604021474441106e+04 1.027128107615729959e+02
2.057903730432128597e+00 2.079905322025028980e+00 2.068904526228578789e+00 1.360356814823669447e+04 1.045082103198763548e+02
2.079905322025029424e+00 2.101906913617930694e+00 2.090906117821480059e+00 1.373665817366612464e+04 1.063207452322933193e+02
2.101906913617930250e+00 2.123908505210831521e+00 2.112907709414380886e+00 1.357980741599303656e+04 1.083316914804092050e+02
2.124315942092181331e+00 2.147132407447783109e+00 2.135724174769982220e+00 1.392169694240884201e+04 1.082347253159985172e+02
2.147132407447782665e+00 2.169948872803383555e+00 2.158540640125583110e+00 1.419002972270612736e+04 1.099533196093195357e+02
2.169948872803383999e+00 2.192765338158984889e+00 2.181357105481184444e+00 1.400577650871526384e+04 1.118706643918752235e+02
2.192765338158984889e+00 2.215581803514585779e+00 2.204173570836785334e+00 1.376197735739035852e+04 1.139899032557843555e+02
2.216396677277286287e+00 2.240842890158287304e+00 2.228619783717786795e+00 1.401242186267172838e+04 1.119276499438170447e+02
2.240435453276937494e+00 2.264066792395238004e+00 2.252251122836087749e+00 1.382606860691137808e+04 1.158644031701336701e+02
2.264066792395238004e+00 2.287698131513539401e+00 2.275882461954388702e+00 1.424858638684763901e+04 1.180753816418323652e+02
2.288105568394889211e+00 2.312551781275891116e+00 2.300328674835390164e+00 1.447377456576751138e+04 1.181477435091016019e+02
2.312551781275890672e+00 2.336997994156891689e+00 2.324774887716391181e+00 1.448621967445987866e+04 1.200654172073707855e+02
2.337405431038241943e+00 2.362666517681942580e+00 2.350035974360092261e+00 1.419348882504478934e+04 1.204245254131471086e+02
2.362666517681943024e+00 2.387927604325644548e+00 2.375297061003793786e+00 1.465065886290693743e+04 1.224212460716914990e+02
2.387520167444294295e+00 2.411966380325295312e+00 2.399743273884794803e+00 1.430343176188192047e+04 1.266229782454960997e+02
2.411966380325295312e+00 2.436412593206296329e+00 2.424189486765795820e+00 1.417705925195963391e+04 1.289996849766785374e+02
2.437634903850346646e+00 2.464525738019448298e+00 2.451080320934897472e+00 1.469139562699509770e+04 1.252390780515852100e+02
2.464118301138098044e+00 2.490194261544499188e+00 2.477156281341298616e+00 1.431432036648188659e+04 1.294953529161123527e+02
2.503232241747699760e+00 2.555384162560502048e+00 2.529308202154100904e+00 1.464400269012728313e+04 9.478474385051229945e+01
2.570051890289103191e+00 2.651539266559106878e+00 2.610795578424105035e+00 1.469999648324322334e+04 8.006825428847768933e+01
2.624240995508655416e+00 2.651131829677757068e+00 2.637686412593206242e+00 1.442716967198088423e+04 1.418891928478204250e+02
2.651946703440456687e+00 2.680467285134958466e+00 2.666206994287707577e+00 1.399583952780312393e+04 1.402973475827954530e+02
2.680467285134958466e+00 2.708987866829459357e+00 2.694727575982208911e+00 1.411890418253494863e+04 1.428884407451093921e+02
2.708580429948109547e+00 2.736286137879911706e+00 2.722433283914010627e+00 1.414479492468833087e+04 1.477746746491417582e+02
2.737101011642611326e+00 2.766436467099812724e+00 2.751768739371212025e+00 1.452150288615422687e+04 1.460483508671074731e+02
2.766436467099812724e+00 2.795771922557014122e+00 2.781104194828413423e+00 1.380923917012110542e+04 1.487527702646677312e+02
