wave,wave_error,dppm,dppm_err,order
0.77721, 0.00025, 14563.80, 598.00, 2
0.77761, 0.00020, 14600.60, 589.00, 2
0.77811, 0.00025, 14368.00, 613.60, 2
0.77861, 0.00025, 14201.30, 540.30, 2
0.77901, 0.00020, 15155.20, 641.20, 2
0.77951, 0.00025, 14290.40, 503.50, 2
0.77991, 0.00020, 14567.10, 559.60, 2
0.78041, 0.00025, 14875.50, 586.90, 2
0.78081, 0.00020, 13234.70, 535.20, 2
0.78131, 0.00025, 13759.50, 587.90, 2
0.78172, 0.00021, 14049.40, 564.20, 2
0.78222, 0.00025, 13825.80, 533.20, 2
0.78272, 0.00025, 15108.60, 640.50, 2
0.78312, 0.00020, 14153.50, 552.50, 2
0.78362, 0.00025, 13218.00, 513.50, 2
0.78402, 0.00020, 13416.00, 520.50, 2
0.78452, 0.00025, 13911.30, 520.30, 2
0.78492, 0.00020, 13661.90, 540.40, 2
0.78542, 0.00025, 13221.20, 539.00, 2
0.78582, 0.00020, 13691.30, 551.80, 2
0.78632, 0.00025, 14813.40, 648.10, 2
0.78682, 0.00025, 14236.30, 586.10, 2
0.78722, 0.00020, 14001.80, 592.60, 2
0.78772, 0.00025, 14158.40, 527.90, 2
0.78812, 0.00020, 13105.50, 490.40, 2
0.78862, 0.00025, 14702.50, 623.50, 2
0.78902, 0.00020, 13923.80, 539.20, 2
0.78952, 0.00025, 14710.60, 532.70, 2
0.79002, 0.00025, 14652.80, 549.10, 2
0.79042, 0.00020, 13619.20, 512.00, 2
0.79092, 0.00025, 14987.00, 717.50, 2
0.79132, 0.00020, 14482.10, 560.40, 2
0.79182, 0.00025, 14000.60, 559.90, 2
0.79222, 0.00020, 15056.10, 581.20, 2
0.79272, 0.00025, 15074.70, 660.30, 2
0.79322, 0.00025, 15250.30, 620.50, 2
0.79362, 0.00020, 15368.70, 490.20, 2
0.79412, 0.00025, 14472.50, 610.50, 2
0.79452, 0.00020, 13929.10, 554.50, 2
0.79502, 0.00025, 14294.80, 599.50, 2
0.79542, 0.00020, 14142.50, 619.70, 2
0.79592, 0.00025, 14114.50, 679.50, 2
0.79642, 0.00025, 14080.70, 612.30, 2
0.79682, 0.00020, 13988.60, 506.40, 2
0.79732, 0.00025, 14519.50, 815.40, 2
0.79772, 0.00020, 14632.40, 495.50, 2
0.79822, 0.00025, 14206.30, 557.40, 2
0.79872, 0.00025, 14590.80, 583.80, 2
0.79912, 0.00020, 14195.10, 567.60, 2
0.79962, 0.00025, 13756.30, 557.20, 2
0.80002, 0.00020, 13873.40, 595.40, 2
0.80052, 0.00025, 13572.50, 521.50, 2
0.80092, 0.00020, 13785.90, 645.30, 2
0.80142, 0.00025, 14983.50, 623.60, 2
0.80192, 0.00025, 14517.70, 580.70, 2
0.80232, 0.00020, 14721.10, 543.10, 2
0.80282, 0.00025, 14585.20, 606.20, 2
0.80322, 0.00020, 14692.80, 613.80, 2
0.80372, 0.00025, 14172.80, 699.90, 2
0.80422, 0.00025, 13561.80, 594.20, 2
0.80462, 0.00020, 13802.80, 562.30, 2
0.80512, 0.00025, 14131.10, 616.20, 2
0.80552, 0.00020, 13292.20, 607.60, 2
0.80602, 0.00025, 14834.20, 611.90, 2
0.80652, 0.00025, 13872.60, 603.00, 2
0.80692, 0.00020, 14723.10, 709.40, 2
0.80742, 0.00025, 14815.50, 569.90, 2
0.80782, 0.00020, 13465.00, 659.00, 2
0.80832, 0.00025, 14115.30, 614.00, 2
0.80882, 0.00025, 14587.90, 607.70, 2
0.80922, 0.00020, 14423.00, 971.00, 2
0.80972, 0.00025, 13878.60, 543.70, 2
0.81012, 0.00020, 15180.40, 678.40, 2
0.81062, 0.00025, 15331.10, 662.00, 2
0.81112, 0.00025, 15421.70, 629.80, 2
0.81152, 0.00020, 14537.80, 586.20, 2
0.81202, 0.00025, 14850.30, 659.40, 2
0.81242, 0.00020, 14111.20, 641.20, 2
0.81292, 0.00025, 14986.20, 544.00, 2
0.81342, 0.00025, 15280.50, 618.30, 2
0.81382, 0.00020, 13586.80, 604.60, 2
0.81432, 0.00025, 14569.60, 696.30, 2
0.81482, 0.00025, 13715.20, 682.70, 2
0.81522, 0.00020, 14721.30, 642.40, 2
0.81572, 0.00025, 14857.30, 650.80, 2
0.81612, 0.00020, 13999.30, 646.00, 2
0.81662, 0.00025, 15073.40, 731.80, 2
0.81712, 0.00025, 14574.20, 566.50, 2
0.81752, 0.00020, 14411.30, 925.40, 2
0.81802, 0.00025, 14357.60, 636.30, 2
0.81842, 0.00020, 14647.60, 649.10, 2
0.81893, 0.00026, 13797.10, 633.10, 2
0.81943, 0.00025, 15030.40, 658.40, 2
0.81983, 0.00020, 13451.80, 635.80, 2
0.82033, 0.00025, 14418.00, 584.70, 2
